roundId,incidentId,participantCode,assignedTask,questionId,question,score1to5,notes
R001,1b6545bb-c46d-4add-baae-9143a6a18324,P001,患者模拟/触发端,Q01,我能快速理解自己在本轮预实验中的任务。,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,P001,患者模拟/触发端,Q02,系统降低了多人协同和现场沟通的混乱感。,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,P001,患者模拟/触发端,Q03,移动端或 App 的当前动作提示足够清楚。,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,P001,患者模拟/触发端,Q04,AED 点位、取送或 CPR/AED 下一步提示对预实验有帮助。,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,P001,患者模拟/触发端,Q05,系统的安全边界提示清楚，没有让我误以为它能替代真实急救。,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,P001,患者模拟/触发端,Q06,我愿意在后续急救协同训练或系统级预实验中继续使用该系统。,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,R001-PRIME,核心施救,Q01,我能快速理解自己在本轮预实验中的任务。,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,R001-PRIME,核心施救,Q02,系统降低了多人协同和现场沟通的混乱感。,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,R001-PRIME,核心施救,Q03,移动端或 App 的当前动作提示足够清楚。,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,R001-PRIME,核心施救,Q04,AED 点位、取送或 CPR/AED 下一步提示对预实验有帮助。,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,R001-PRIME,核心施救,Q05,系统的安全边界提示清楚，没有让我误以为它能替代真实急救。,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,R001-PRIME,核心施救,Q06,我愿意在后续急救协同训练或系统级预实验中继续使用该系统。,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,R002-RUNNER,AED 保障,Q01,我能快速理解自己在本轮预实验中的任务。,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,R002-RUNNER,AED 保障,Q02,系统降低了多人协同和现场沟通的混乱感。,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,R002-RUNNER,AED 保障,Q03,移动端或 App 的当前动作提示足够清楚。,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,R002-RUNNER,AED 保障,Q04,AED 点位、取送或 CPR/AED 下一步提示对预实验有帮助。,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,R002-RUNNER,AED 保障,Q05,系统的安全边界提示清楚，没有让我误以为它能替代真实急救。,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,R002-RUNNER,AED 保障,Q06,我愿意在后续急救协同训练或系统级预实验中继续使用该系统。,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,R003-GUIDE,环境清障/救护接应,Q01,我能快速理解自己在本轮预实验中的任务。,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,R003-GUIDE,环境清障/救护接应,Q02,系统降低了多人协同和现场沟通的混乱感。,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,R003-GUIDE,环境清障/救护接应,Q03,移动端或 App 的当前动作提示足够清楚。,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,R003-GUIDE,环境清障/救护接应,Q04,AED 点位、取送或 CPR/AED 下一步提示对预实验有帮助。,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,R003-GUIDE,环境清障/救护接应,Q05,系统的安全边界提示清楚，没有让我误以为它能替代真实急救。,,
R001,1b6545bb-c46d-4add-baae-9143a6a18324,R003-GUIDE,环境清障/救护接应,Q06,我愿意在后续急救协同训练或系统级预实验中继续使用该系统。,,
