轮次编号,事件编号,参与者代号,已分派Task,questionId,question,评分1to5,备注
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,P001,患者模拟/触发端,Q01,我能快速理解自己在本轮预实验中的任务。,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,P001,患者模拟/触发端,Q02,系统降低了多人协同和现场沟通的混乱感。,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,P001,患者模拟/触发端,Q03,移动端或 App 的当前动作提示足够清楚。,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,P001,患者模拟/触发端,Q04,AED 点位、取送或 CPR/AED 下一步提示对预实验有帮助。,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,P001,患者模拟/触发端,Q05,系统的安全边界提示清楚，没有让我误以为它能替代真实急救。,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,P001,患者模拟/触发端,Q06,我愿意在后续急救协同训练或系统级预实验中继续使用该系统。,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,R003-核心施救,核心施救,Q01,我能快速理解自己在本轮预实验中的任务。,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,R003-核心施救,核心施救,Q02,系统降低了多人协同和现场沟通的混乱感。,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,R003-核心施救,核心施救,Q03,移动端或 App 的当前动作提示足够清楚。,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,R003-核心施救,核心施救,Q04,AED 点位、取送或 CPR/AED 下一步提示对预实验有帮助。,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,R003-核心施救,核心施救,Q05,系统的安全边界提示清楚，没有让我误以为它能替代真实急救。,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,R003-核心施救,核心施救,Q06,我愿意在后续急救协同训练或系统级预实验中继续使用该系统。,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,R002-AED取送,AED 保障,Q01,我能快速理解自己在本轮预实验中的任务。,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,R002-AED取送,AED 保障,Q02,系统降低了多人协同和现场沟通的混乱感。,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,R002-AED取送,AED 保障,Q03,移动端或 App 的当前动作提示足够清楚。,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,R002-AED取送,AED 保障,Q04,AED 点位、取送或 CPR/AED 下一步提示对预实验有帮助。,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,R002-AED取送,AED 保障,Q05,系统的安全边界提示清楚，没有让我误以为它能替代真实急救。,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,R002-AED取送,AED 保障,Q06,我愿意在后续急救协同训练或系统级预实验中继续使用该系统。,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,R003-救护接驳,环境清障/救护接应,Q01,我能快速理解自己在本轮预实验中的任务。,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,R003-救护接驳,环境清障/救护接应,Q02,系统降低了多人协同和现场沟通的混乱感。,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,R003-救护接驳,环境清障/救护接应,Q03,移动端或 App 的当前动作提示足够清楚。,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,R003-救护接驳,环境清障/救护接应,Q04,AED 点位、取送或 CPR/AED 下一步提示对预实验有帮助。,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,R003-救护接驳,环境清障/救护接应,Q05,系统的安全边界提示清楚，没有让我误以为它能替代真实急救。,,
R003,b0643d89-24cc-49bd-9807-bc742be19a2e,R003-救护接驳,环境清障/救护接应,Q06,我愿意在后续急救协同训练或系统级预实验中继续使用该系统。,,
